Book_ID,Book_Title,Authors,Rating,Number_of_reviews,Ratings_Count,ISBN-10,ISBN-13,Num_Of_Pages,Language_Code,Publication_year,Publisher
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,27591.0,2095690.0,0439785960,9780439785969,652.0,eng,2006,Scholastic Inc.
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,29221.0,2153167.0,0439358078,9780439358071,870.0,eng,2004,Scholastic Inc.
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,244.0,6333.0,0439554896,9780439554893,352.0,eng,2003,Scholastic
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,36325.0,2339585.0,043965548X,9780439655484,435.0,eng,2004,Scholastic Inc.
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,164.0,41428.0,0439682584,9780439682589,2690.0,eng,2004,Scholastic
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,1.0,19.0,0976540606,9780976540601,152.0,en-US,2005,Nimble Books
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,808.0,28242.0,0439827604,9780439827607,3342.0,eng,2005,Scholastic
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,254.0,3628.0,0517226952,9780517226957,815.0,eng,2005,Gramercy Books
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,4080.0,249558.0,0345453743,9780345453747,815.0,eng,2002,Del Rey Books
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,460.0,4930.0,1400052920,9781400052929,215.0,eng,2004,Crown
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,195.0,2877.0,0517149257,9780517149256,815.0,eng,1996,Wings Books
21,A Short History of Nearly Everything,Bill Bryson,4.21,9396.0,248558.0,076790818X,9780767908184,544.0,eng,2004,Broadway Books
22,Bill Bryson's African Diary,Bill Bryson,3.44,499.0,7270.0,0767915062,9780767915069,55.0,eng,2002,Broadway Books
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,131.0,2088.0,0767910435,9780767910439,256.0,eng,2004,Broadway Books
